Year,Month,Day,State,Event Type
1957,June,25,MINNESOTA,Tornado
1957,June,25,MINNESOTA,Tornado
1957,June,27,MINNESOTA,Tornado
1957,June,27,MINNESOTA,Tornado
1957,July,1,MINNESOTA,Hail
1957,July,3,MINNESOTA,Thunderstorm Wind
1957,July,3,MINNESOTA,Tornado
1957,July,3,MINNESOTA,Thunderstorm Wind
1957,July,6,MINNESOTA,Hail
1957,July,6,MINNESOTA,Hail
1957,July,6,MINNESOTA,Hail
1958,June,30,MINNESOTA,Hail
1958,July,1,MINNESOTA,Tornado
1958,July,13,MINNESOTA,Thunderstorm Wind
1958,November,17,MINNESOTA,Thunderstorm Wind
1958,July,13,MINNESOTA,Thunderstorm Wind
1958,August,4,MINNESOTA,Thunderstorm Wind
1958,August,4,MINNESOTA,Hail
1958,May,24,MINNESOTA,Tornado
1958,May,26,MINNESOTA,Thunderstorm Wind
1958,May,26,MINNESOTA,Hail
1958,May,26,MINNESOTA,Tornado
1958,May,26,MINNESOTA,Tornado
1958,May,26,MINNESOTA,Tornado
1958,May,26,MINNESOTA,Tornado
1958,June,4,MINNESOTA,Tornado
1958,June,4,MINNESOTA,Tornado
1958,June,4,MINNESOTA,Tornado
1958,June,19,MINNESOTA,Tornado
1958,June,23,MINNESOTA,Tornado
1958,June,30,MINNESOTA,Thunderstorm Wind
1958,June,30,MINNESOTA,Thunderstorm Wind
1958,June,30,MINNESOTA,Hail
1958,August,4,MINNESOTA,Thunderstorm Wind
1958,August,4,MINNESOTA,Hail
1958,August,4,MINNESOTA,Tornado
1958,August,9,MINNESOTA,Thunderstorm Wind
1958,August,11,MINNESOTA,Tornado
1958,August,13,MINNESOTA,Hail
1958,August,13,MINNESOTA,Thunderstorm Wind
1958,August,13,MINNESOTA,Hail
1958,August,14,MINNESOTA,Hail
1958,August,14,MINNESOTA,Hail
1958,August,14,MINNESOTA,Hail
1958,August,14,MINNESOTA,Hail
1958,August,29,MINNESOTA,Hail
1958,August,30,MINNESOTA,Thunderstorm Wind
1958,August,30,MINNESOTA,Thunderstorm Wind
1958,August,30,MINNESOTA,Hail
1958,September,5,MINNESOTA,Tornado
1958,September,8,MINNESOTA,Hail
1958,August,4,MINNESOTA,Hail
1958,August,4,MINNESOTA,Thunderstorm Wind
1958,August,4,MINNESOTA,Thunderstorm Wind
1958,August,4,MINNESOTA,Thunderstorm Wind
1958,August,4,MINNESOTA,Hail
1958,May,26,MINNESOTA,Hail
1959,July,17,MINNESOTA,Thunderstorm Wind
1959,July,20,MINNESOTA,Hail
1959,August,3,MINNESOTA,Thunderstorm Wind
1959,August,3,MINNESOTA,Thunderstorm Wind
1959,August,3,MINNESOTA,Thunderstorm Wind
1959,August,3,MINNESOTA,Thunderstorm Wind
1959,July,7,MINNESOTA,Thunderstorm Wind
1959,July,7,MINNESOTA,Thunderstorm Wind
